raceId,Actual Winner,Predicted Winner
1083,Carlos Sainz,Max Verstappen
1113,Carlos Sainz,Max Verstappen
1123,Carlos Sainz,Max Verstappen
1074,Charles Leclerc,Charles Leclerc
1076,Charles Leclerc,Charles Leclerc
1084,Charles Leclerc,Max Verstappen
1128,Charles Leclerc,Charles Leclerc
1065,Daniel Ricciardo,Max Verstappen
1062,Esteban Ocon,Lewis Hamilton
1095,George Russell,George Russell
1131,George Russell,Max Verstappen
1126,Lando Norris,Max Verstappen
1032,Lewis Hamilton,Lewis Hamilton
1033,Lewis Hamilton,Lewis Hamilton
1034,Lewis Hamilton,Lewis Hamilton
1036,Lewis Hamilton,Lewis Hamilton
1037,Lewis Hamilton,Lewis Hamilton
1039,Lewis Hamilton,Lewis Hamilton
1041,Lewis Hamilton,Lewis Hamilton
1042,Lewis Hamilton,Lewis Hamilton
1043,Lewis Hamilton,Valtteri Bottas
1044,Lewis Hamilton,Lewis Hamilton
1045,Lewis Hamilton,Valtteri Bottas
1052,Lewis Hamilton,Lewis Hamilton
1054,Lewis Hamilton,Lewis Hamilton
1055,Lewis Hamilton,Lewis Hamilton
1061,Lewis Hamilton,Max Verstappen
1066,Lewis Hamilton,Lewis Hamilton
1071,Lewis Hamilton,Valtteri Bottas
1051,Lewis Hamilton,Lewis Hamilton
1072,Lewis Hamilton,Lewis Hamilton
1132,Lewis Hamilton,Max Verstappen
1035,Max Verstappen,Lewis Hamilton
1047,Max Verstappen,Max Verstappen
1053,Max Verstappen,Lewis Hamilton
1056,Max Verstappen,Max Verstappen
1059,Max Verstappen,Max Verstappen
1058,Max Verstappen,Max Verstappen
1060,Max Verstappen,Max Verstappen
1063,Max Verstappen,Max Verstappen
1064,Max Verstappen,Max Verstappen
1069,Max Verstappen,Max Verstappen
1070,Max Verstappen,Lewis Hamilton
1073,Max Verstappen,Max Verstappen
1075,Max Verstappen,Charles Leclerc
1077,Max Verstappen,Charles Leclerc
1078,Max Verstappen,Charles Leclerc
1079,Max Verstappen,Max Verstappen
1081,Max Verstappen,Max Verstappen
1082,Max Verstappen,Max Verstappen
1085,Max Verstappen,Charles Leclerc
1086,Max Verstappen,Charles Leclerc
1087,Max Verstappen,Sergio Pérez
1088,Max Verstappen,Charles Leclerc
1089,Max Verstappen,Charles Leclerc
1092,Max Verstappen,Max Verstappen
1093,Max Verstappen,Max Verstappen
1094,Max Verstappen,Max Verstappen
1096,Max Verstappen,Sergio Pérez
1098,Max Verstappen,Max Verstappen
1100,Max Verstappen,Max Verstappen
1102,Max Verstappen,Sergio Pérez
1104,Max Verstappen,Max Verstappen
1105,Max Verstappen,Max Verstappen
1106,Max Verstappen,Max Verstappen
1107,Max Verstappen,Max Verstappen
1108,Max Verstappen,Max Verstappen
1109,Max Verstappen,Max Verstappen
1110,Max Verstappen,Sergio Pérez
1111,Max Verstappen,Max Verstappen
1112,Max Verstappen,Max Verstappen
1114,Max Verstappen,Max Verstappen
1115,Max Verstappen,Sergio Pérez
1116,Max Verstappen,Max Verstappen
1117,Max Verstappen,Sergio Pérez
1118,Max Verstappen,Lewis Hamilton
1119,Max Verstappen,Sergio Pérez
1120,Max Verstappen,Charles Leclerc
1121,Max Verstappen,Max Verstappen
1122,Max Verstappen,Max Verstappen
1124,Max Verstappen,Max Verstappen
1125,Max Verstappen,Max Verstappen
1127,Max Verstappen,Max Verstappen
1129,Max Verstappen,Max Verstappen
1130,Max Verstappen,Max Verstappen
1038,Pierre Gasly,Lewis Hamilton
1046,Sergio Pérez,Valtteri Bottas
1057,Sergio Pérez,Lewis Hamilton
1080,Sergio Pérez,Max Verstappen
1091,Sergio Pérez,George Russell
1099,Sergio Pérez,Sergio Pérez
1101,Sergio Pérez,Max Verstappen
1031,Valtteri Bottas,Valtteri Bottas
1040,Valtteri Bottas,Lewis Hamilton
1067,Valtteri Bottas,Max Verstappen
